subdivision,units,price_per_sqm_net_min,price_per_sqm_net_median,price_per_sqm_net_max,price_per_sqm_gross_median,gross_area_median,standard_price_median,area_efficiency_median,loan_premium_pct_median,sold,reserved,available,sold_pct
Lusso Saigon,59,46464009.807355516,59793538.77707495,75420044.61936596,54871221.07299912,66.45,3394501146.0,0.9013371882905673,9.799999995440366,18,12,29,30.51
Lusso d'Arte,61,48528307.11033275,57487642.497918405,69757048.97755611,51949921.384499624,66.45,3452132932.0,0.8978682787146038,9.799999999345218,18,10,33,29.51
Risa,114,51959337.10558252,64495634.01420959,84386579.42028986,58383845.80854662,63.099999999999994,3637664641.0,0.9014488342876261,4.100000001073632,43,21,50,37.72
Zenia,158,51855982.90919607,58399050.28472754,76288659.77774093,53148268.03492327,66.45,3527560121.0,0.9036869826937546,1.6999999988018994,51,20,87,32.28
