floor_band,units,price_per_sqm_net_min,price_per_sqm_net_median,price_per_sqm_net_max,price_per_sqm_gross_median,gross_area_median,standard_price_median,area_efficiency_median,loan_premium_pct_median,sold,reserved,available,sold_pct
high,164,46464009.807355516,59251592.42825487,84386579.42028986,53993917.131214805,66.45,3534586980.0,0.9075542842283189,4.0999999907375715,60,24,80,36.59
low,116,51581026.43965056,59665992.61631827,78941461.76160337,53505680.518986315,66.45,3384826255.0,0.8961653116581865,4.100000000727311,31,24,61,26.72
mid,112,50311262.73919206,65778548.61037351,81364076.20765918,59204780.83816779,66.45,3688652571.0,0.9014951006994831,4.09999999709245,39,15,58,34.82
